Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-290
7,0,0,0,12,1,0,0,0,1,0,0,0,0,0,14,2,0,0,0,0,0,0,475,55
9,0,0,0,16,1,0,0,0,1,0,0,0,0,0,18,2,0,0,0,0,0,0,475,213
11,0,0,0,13,1,2,0,0,2,0,0,0,0,0,21,3,0,0,0,0,0,0,1110,788
13,0,0,0,16,1,1,0,0,3,0,0,0,0,0,24,4,0,0,0,0,0,0,1505,920
15,0,0,0,14,5,1,1,0,3,0,0,0,0,0,24,7,0,0,0,0,0,0,1540,540
17,0,0,0,16,7,1,1,0,2,0,0,0,0,0,24,8,1,0,0,0,0,0,965,540
19,0,0,0,15,7,3,1,0,2,0,0,0,0,0,26,9,0,0,0,1,0,0,730,915
21,0,0,0,15,10,2,1,1,2,0,0,0,0,0,27,10,0,0,0,0,0,1,1130,1122
23,0,0,0,18,10,2,1,0,3,0,0,0,0,0,27,12,1,0,0,0,0,0,1550,1328
25,0,0,0,18,10,1,1,0,5,0,0,0,0,0,26,14,1,0,1,0,0,0,1450,2470
27,0,0,0,15,12,1,1,0,6,0,0,0,0,0,24,16,1,1,1,0,0,0,1890,3002
29,0,0,0,9,12,1,1,1,6,0,0,2,0,0,25,19,2,2,0,0,0,0,3613,12135
31,0,0,0,10,13,1,1,0,6,0,1,2,0,0,23,21,2,2,1,0,0,0,2638,89416
33,0,0,0,14,14,2,1,1,3,0,0,4,0,0,24,23,3,2,1,1,0,0,541,2147483647
35,0,0,0,14,14,1,0,0,2,1,0,6,0,0,28,15,2,2,1,3,0,0,7789,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-10
5,0,0,0,7,5,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,-80,80
7,0,0,0,8,6,0,1,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,362
9,2,0,0,8,0,2,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,160,455
11,2,0,0,10,1,0,1,1,0,0,0,2,0,0,14,2,0,0,0,0,0,0,1005,2147483647
13,2,0,0,12,2,0,1,0,0,1,0,2,0,0,14,3,0,0,1,0,0,0,9025,2147483647
15,2,0,0,10,3,0,0,1,0,0,0,4,0,0,15,2,2,0,0,1,0,0,133,2147483647
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,-157
3,0,0,0,5,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,-110
5,0,0,0,7,3,0,1,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,35,-312
7,0,0,0,9,4,0,0,0,1,0,0,0,0,0,12,3,0,0,0,0,0,0,475,445
9,0,0,0,11,5,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,-30,248
11,0,0,0,7,6,2,0,0,1,0,0,0,0,0,16,7,0,0,0,0,0,0,605,810
13,0,0,0,9,7,1,0,0,2,0,0,0,0,0,18,9,0,0,0,0,0,0,1000,420
15,0,0,0,9,8,2,0,0,1,0,0,0,0,0,20,11,0,0,0,0,0,0,575,-395
17,0,0,0,8,8,2,0,0,2,0,0,0,0,0,19,12,0,0,1,0,0,0,70,-435
19,0,0,0,10,9,1,0,0,3,0,0,0,0,0,20,13,1,0,0,1,0,0,880,-187
21,0,0,0,9,13,1,4,0,0,0,1,2,0,0,21,16,1,1,0,1,0,0,473,-1356
23,2,0,0,14,11,1,3,1,0,0,1,2,0,0,18,15,2,0,1,0,0,0,9990,-1796
